InstitutionName,UnitID,ParentID,OPEID,InstitutionType,Address,City,State,HasHistory
Seattle University,149037,0,379000,Institution,901 12th Ave,Seattle,WA,TRUE
Seattle Vocational Institute,157377,0,378703,Institution,2120 S Jackson,Seattle,WA,FALSE
Shoreline Community College,149046,0,379100,Institution,16101 Greenwood Ave N,Shoreline,WA,FALSE
Skagit Valley College,149055,0,379200,Institution,2405 E. College Way,Mount Vernon,WA,FALSE
South Puget Sound Community College,149064,0,537200,Institution,2011 Mottman Rd SW,Olympia,WA,FALSE
South Seattle College,148982,0,970600,Institution,6000 16th Ave SW,Seattle,WA,TRUE
Southern Illinois University Carbondale,114318,0,175800,Institution,Anthony Hall 116,Carbondale,IL,FALSE
Specialty Eyecare Group,248156,0,,Site,1911 4th Avenue,Seattle,WA,FALSE
Spokane College of English Language,229665,0,,Institution,718 W Riverside Avenue,Spokane,WA,FALSE
Spokane Community College,149073,0,379300,Institution,1810 North Greene Street,Spokane,WA,FALSE
Spokane Falls Community College,149082,0,954400,Institution,3410 W Fort Geo Wright Dr,Spokane,WA,FALSE
Spokane Mental Health,197009,0,,Site,South 107 Division,Spokane,WA,FALSE
Strayer University,108968,0,145900,Institution,1133 15th St NW,Washington,DC,FALSE
Studio Beauty School,235459,0,4231000,Institution,10001 East Sprague Avenue,Spokane Valley,WA,TRUE
Summit Salon Academy,214458,0,4170100,Institution,3702 South Fife Street_ B102,Tacoma,WA,TRUE
Sunnyside Beauty Academy,188438,0,4120000,Institution,2640 East Edison_ Suite 2,Sunnyside,WA,TRUE
Swedish Health Services,206677,0,,Site,747 Broadway,Seattle,WA,FALSE
Tacoma Bible College,229504,0,,Institution,106 South 28th Street,Tacoma,WA,FALSE
Tacoma Community College,149107,0,379600,Institution,6501 S 19th Street,Tacoma,WA,FALSE
The Art Institute of Seattle,148405,0,2291300,Institution,2323 Elliott Ave,Seattle,WA,FALSE
The Beauty Institute Schwarzkopf Professional,238157,0,,Institution,1411 Railroad Avenue,Bellingham,WA,FALSE
The Evergreen State College,148636,0,815500,Institution,2700 Evergreen Pkwy NW,Olympia,WA,FALSE
The Seattle School of Theology and Psychology,169567,0,3466400,Institution,2501 Elliott Avenue,Seattle,WA,TRUE
Tint School of Make-Up & Cosmetology - Dallas,162724,0,3035200,Institution,10909 Webb Chapel RoadSuite 129,Dallas,TX,TRUE
Toni & Guy Hairdressing Academy - Bellingham,215725,0,3670301,Institution,1411 Railroad Avenue,Bellingham,WA,FALSE
Total Cosmetology Training Center,191241,0,3932500,Institution,5303 North Market Street,Spokane,WA,FALSE
Tri-Cities Chaplaincy,206817,0,,Site,2108 W Entiat Ave,Kennewick,WA,FALSE
Trinity Lutheran College,148821,0,2106700,Institution,2802 Wetmore Avenue,Everett,WA,TRUE
U. S. Army Medical Department Center and School,190062,0,,Institution,2250 Stanley Road_ Suite 245,San Antonio,TX,FALSE
U.S. Naval War College_ The,165565,0,,Institution,686 Cushing Road,Newport,RI,TRUE
University of Phoenix,101435,0,2098800,Institution,4035 South Riverpoint Parkway,Phoenix,AZ,TRUE
University of Puget Sound,148955,0,379700,Institution,1500 N Warner,Tacoma,WA,FALSE
University of Washington,149143,0,379800,Institution,P.O. Box 351230,Seattle,WA,FALSE
VA Puget Sound Health Care System - American Lake Division,196990,0,,Site,9900 Veterans Drive,Tacoma,WA,TRUE
VA Puget Sound Health Care System - Seattle Division,196644,0,,Site,1660 South Columbian Way,Seattle,WA,FALSE
Victoria's Academy of Cosmetology,198260,0,4127200,Institution,23 West 1st Avenue,Kennewick,WA,TRUE
Vincennes University,115667,0,184300,Institution,1002 N First St,Vincennes,IN,FALSE
Walla Walla and Spokane VAMC,240435,0,,Site,4815 N. Assembly St.,Spokane,WA,FALSE
Walla Walla Community College,149116,0,500600,Institution,500 Tausick Way,Walla Walla,WA,FALSE
Walla Walla University,149125,0,379900,Institution,204 S College Ave,College Place,WA,TRUE
Washington State University,149134,0,380000,Institution,French Administration Building,Pullman,WA,FALSE
Washington State University-Spokane,238829,0,,Site,310 N. Riverpoint Blvd_ P.O Box 1495,Spokane,WA,FALSE
Webster University,126386,0,252100,Institution,470 E Lockwood Ave.,Saint Louis,MO,FALSE
Wenatchee Valley College,149152,0,380100,Institution,1300 Fifth St,Wenatchee,WA,FALSE
Western State Hospital,196972,0,,Site,9601 Steilacoom Boulevard_ SW,Tacoma,WA,FALSE
Western Washington University,149170,0,380200,Institution,516 High St,Bellingham,WA,FALSE
Whatcom Community College,149189,0,1036400,Institution,237 W Kellogg Rd,Bellingham,WA,FALSE
Whitman College,149198,0,380300,Institution,345 Boyer Ave,Walla Walla,WA,FALSE
Whitworth University,149204,0,380400,Institution,300 W Hawthorne Rd,Spokane,WA,TRUE
Wu Hsing Tao School,185837,0,,Institution,4000 ME 41st Street_ Bldg. D_ Ste. 1,Seattle,WA,FALSE
Yakima Beauty School; Beauty Works,191296,0,3953300,Institution,401 North First Street,Yakima,WA,TRUE
Yakima Valley Community College,149213,0,380500,Institution,Sixteenth and Nob Hill Boulevard,Yakima,WA,FALSE
Yakima Valley Farm Workers Clinic - Northwest Dental Residency Advanced Education in General Dentistry 12 Months,209445,0,,Site,518 W. First Avenue,Toppenish,WA,FALSE
